Geography,Indicator,Count
SVK,% of population aged 20 to 79 living with diabetes,7.29
SVN,% of population aged 20 to 79 living with diabetes,7.25
SLB,% of population aged 20 to 79 living with diabetes,18.68
SOM,% of population aged 20 to 79 living with diabetes,6.05
ZAF,% of population aged 20 to 79 living with diabetes,5.52
KOR,% of population aged 20 to 79 living with diabetes,6.8
SSD,% of population aged 20 to 79 living with diabetes,10.43
ESP,% of population aged 20 to 79 living with diabetes,7.17
LKA,% of population aged 20 to 79 living with diabetes,10.68
SDN,% of population aged 20 to 79 living with diabetes,15.67
SUR,% of population aged 20 to 79 living with diabetes,12.54
SWE,% of population aged 20 to 79 living with diabetes,4.79
CHE,% of population aged 20 to 79 living with diabetes,5.59
SYR,% of population aged 20 to 79 living with diabetes,
TWN,% of population aged 20 to 79 living with diabetes,
TJK,% of population aged 20 to 79 living with diabetes,7.11
TZA,% of population aged 20 to 79 living with diabetes,5.75
THA,% of population aged 20 to 79 living with diabetes,7.04
TLS,% of population aged 20 to 79 living with diabetes,6.86
TGO,% of population aged 20 to 79 living with diabetes,6.15
TTO,% of population aged 20 to 79 living with diabetes,10.97
TUN,% of population aged 20 to 79 living with diabetes,8.52
TUR,% of population aged 20 to 79 living with diabetes,12.13
UGA,% of population aged 20 to 79 living with diabetes,2.5
UKR,% of population aged 20 to 79 living with diabetes,7.11
ARE,% of population aged 20 to 79 living with diabetes,17.26
GBR,% of population aged 20 to 79 living with diabetes,4.28
USA,% of population aged 20 to 79 living with diabetes,10.79
URY,% of population aged 20 to 79 living with diabetes,6.93
UZB,% of population aged 20 to 79 living with diabetes,7.57
VUT,% of population aged 20 to 79 living with diabetes,12.02
VAT,% of population aged 20 to 79 living with diabetes,
VEN,% of population aged 20 to 79 living with diabetes,6.47
VNM,% of population aged 20 to 79 living with diabetes,6.0
OWID_WRL,% of population aged 20 to 79 living with diabetes,8.51
YEM,% of population aged 20 to 79 living with diabetes,5.35
ZMB,% of population aged 20 to 79 living with diabetes,3.94
ZWE,% of population aged 20 to 79 living with diabetes,1.82
