Geography,Indicator,Count
IRN,% of population with basic handwashing facilities on premises,Null
IRQ,% of population with basic handwashing facilities on premises,94.57600000000001
IRL,% of population with basic handwashing facilities on premises,Null
ISR,% of population with basic handwashing facilities on premises,Null
ITA,% of population with basic handwashing facilities on premises,Null
JAM,% of population with basic handwashing facilities on premises,66.425
JPN,% of population with basic handwashing facilities on premises,Null
JOR,% of population with basic handwashing facilities on premises,Null
KAZ,% of population with basic handwashing facilities on premises,98.999
KEN,% of population with basic handwashing facilities on premises,24.651
OWID_KOS,% of population with basic handwashing facilities on premises,Null
KWT,% of population with basic handwashing facilities on premises,Null
KGZ,% of population with basic handwashing facilities on premises,89.22
LAO,% of population with basic handwashing facilities on premises,49.839
LVA,% of population with basic handwashing facilities on premises,Null
LBN,% of population with basic handwashing facilities on premises,Null
LSO,% of population with basic handwashing facilities on premises,2.117
LBR,% of population with basic handwashing facilities on premises,1.188
LBY,% of population with basic handwashing facilities on premises,Null
LIE,% of population with basic handwashing facilities on premises,Null
LTU,% of population with basic handwashing facilities on premises,Null
LUX,% of population with basic handwashing facilities on premises,Null
MDG,% of population with basic handwashing facilities on premises,50.54
MWI,% of population with basic handwashing facilities on premises,8.704
MYS,% of population with basic handwashing facilities on premises,Null
MDV,% of population with basic handwashing facilities on premises,95.803
MLI,% of population with basic handwashing facilities on premises,52.232
MLT,% of population with basic handwashing facilities on premises,Null
MHL,% of population with basic handwashing facilities on premises,82.50200000000001
MRT,% of population with basic handwashing facilities on premises,15.95
MUS,% of population with basic handwashing facilities on premises,Null
MEX,% of population with basic handwashing facilities on premises,87.84700000000001
FSM,% of population with basic handwashing facilities on premises,Null
MDA,% of population with basic handwashing facilities on premises,86.979
MCO,% of population with basic handwashing facilities on premises,Null
MNG,% of population with basic handwashing facilities on premises,71.18
MNE,% of population with basic handwashing facilities on premises,Null
MAR,% of population with basic handwashing facilities on premises,Null
MOZ,% of population with basic handwashing facilities on premises,12.227
MMR,% of population with basic handwashing facilities on premises,79.28699999999999
NAM,% of population with basic handwashing facilities on premises,44.6
NPL,% of population with basic handwashing facilities on premises,47.782
NLD,% of population with basic handwashing facilities on premises,Null
NZL,% of population with basic handwashing facilities on premises,Null
NIC,% of population with basic handwashing facilities on premises,Null
NER,% of population with basic handwashing facilities on premises,8.978
NGA,% of population with basic handwashing facilities on premises,41.949
MKD,% of population with basic handwashing facilities on premises,Null
NOR,% of population with basic handwashing facilities on premises,Null
OMN,% of population with basic handwashing facilities on premises,97.4
PAK,% of population with basic handwashing facilities on premises,59.607
PSE,% of population with basic handwashing facilities on premises,Null
PAN,% of population with basic handwashing facilities on premises,Null
PNG,% of population with basic handwashing facilities on premises,Null
PRY,% of population with basic handwashing facilities on premises,79.602
PER,% of population with basic handwashing facilities on premises,Null
PHL,% of population with basic handwashing facilities on premises,78.46300000000001
POL,% of population with basic handwashing facilities on premises,Null
PRT,% of population with basic handwashing facilities on premises,Null
QAT,% of population with basic handwashing facilities on premises,Null
ROU,% of population with basic handwashing facilities on premises,Null
RUS,% of population with basic handwashing facilities on premises,Null
RWA,% of population with basic handwashing facilities on premises,4.617
KNA,% of population with basic handwashing facilities on premises,Null
LCA,% of population with basic handwashing facilities on premises,87.20200000000001
VCT,% of population with basic handwashing facilities on premises,Null
WSM,% of population with basic handwashing facilities on premises,Null
SMR,% of population with basic handwashing facilities on premises,Null
STP,% of population with basic handwashing facilities on premises,41.34
SAU,% of population with basic handwashing facilities on premises,Null
SEN,% of population with basic handwashing facilities on premises,20.859
SRB,% of population with basic handwashing facilities on premises,97.719
SYC,% of population with basic handwashing facilities on premises,Null
SLE,% of population with basic handwashing facilities on premises,19.275
SGP,% of population with basic handwashing facilities on premises,Null
SVK,% of population with basic handwashing facilities on premises,Null
SVN,% of population with basic handwashing facilities on premises,Null
SLB,% of population with basic handwashing facilities on premises,35.89
SOM,% of population with basic handwashing facilities on premises,9.831
ZAF,% of population with basic handwashing facilities on premises,43.993
KOR,% of population with basic handwashing facilities on premises,Null
SSD,% of population with basic handwashing facilities on premises,Null
ESP,% of population with basic handwashing facilities on premises,Null
LKA,% of population with basic handwashing facilities on premises,Null
SDN,% of population with basic handwashing facilities on premises,23.436999999999998
SUR,% of population with basic handwashing facilities on premises,67.779
SWE,% of population with basic handwashing facilities on premises,Null
CHE,% of population with basic handwashing facilities on premises,Null
SYR,% of population with basic handwashing facilities on premises,70.598
TWN,% of population with basic handwashing facilities on premises,Null
TJK,% of population with basic handwashing facilities on premises,72.704
TZA,% of population with basic handwashing facilities on premises,47.953
THA,% of population with basic handwashing facilities on premises,90.67
TLS,% of population with basic handwashing facilities on premises,28.178
TGO,% of population with basic handwashing facilities on premises,10.475
TTO,% of population with basic handwashing facilities on premises,89.443
TUN,% of population with basic handwashing facilities on premises,78.687
TUR,% of population with basic handwashing facilities on premises,Null
UGA,% of population with basic handwashing facilities on premises,21.221999999999998
UKR,% of population with basic handwashing facilities on premises,Null
ARE,% of population with basic handwashing facilities on premises,Null
GBR,% of population with basic handwashing facilities on premises,Null
USA,% of population with basic handwashing facilities on premises,Null
URY,% of population with basic handwashing facilities on premises,Null
UZB,% of population with basic handwashing facilities on premises,Null
VUT,% of population with basic handwashing facilities on premises,25.209
VAT,% of population with basic handwashing facilities on premises,Null
VEN,% of population with basic handwashing facilities on premises,Null
VNM,% of population with basic handwashing facilities on premises,85.84700000000001
OWID_WRL,% of population with basic handwashing facilities on premises,60.13
YEM,% of population with basic handwashing facilities on premises,49.542
ZMB,% of population with basic handwashing facilities on premises,13.937999999999999
ZWE,% of population with basic handwashing facilities on premises,36.791
AFG,"Hospital beds per 1,000 people",0.5
ALB,"Hospital beds per 1,000 people",2.89
DZA,"Hospital beds per 1,000 people",1.9
AND,"Hospital beds per 1,000 people",Null
AGO,"Hospital beds per 1,000 people",Null
ATG,"Hospital beds per 1,000 people",3.8
ARG,"Hospital beds per 1,000 people",5.0
ARM,"Hospital beds per 1,000 people",4.2
AUS,"Hospital beds per 1,000 people",3.84
AUT,"Hospital beds per 1,000 people",7.37
AZE,"Hospital beds per 1,000 people",4.7
BHS,"Hospital beds per 1,000 people",2.9
BHR,"Hospital beds per 1,000 people",2.0
BGD,"Hospital beds per 1,000 people",0.8
BRB,"Hospital beds per 1,000 people",5.8
BLR,"Hospital beds per 1,000 people",11.0
BEL,"Hospital beds per 1,000 people",5.64
BLZ,"Hospital beds per 1,000 people",1.3
BEN,"Hospital beds per 1,000 people",0.5
BTN,"Hospital beds per 1,000 people",1.7
BOL,"Hospital beds per 1,000 people",1.1
BIH,"Hospital beds per 1,000 people",3.5
BWA,"Hospital beds per 1,000 people",1.8
BRA,"Hospital beds per 1,000 people",2.2
BRN,"Hospital beds per 1,000 people",2.7
BGR,"Hospital beds per 1,000 people",7.454
BFA,"Hospital beds per 1,000 people",0.4
BDI,"Hospital beds per 1,000 people",0.8
KHM,"Hospital beds per 1,000 people",0.8
CMR,"Hospital beds per 1,000 people",1.3
CAN,"Hospital beds per 1,000 people",2.5
CPV,"Hospital beds per 1,000 people",2.1
CAF,"Hospital beds per 1,000 people",1.0
TCD,"Hospital beds per 1,000 people",Null
CHL,"Hospital beds per 1,000 people",2.11
CHN,"Hospital beds per 1,000 people",4.34
COL,"Hospital beds per 1,000 people",1.71
COM,"Hospital beds per 1,000 people",2.2
COG,"Hospital beds per 1,000 people",Null
CRI,"Hospital beds per 1,000 people",1.13
CIV,"Hospital beds per 1,000 people",Null
HRV,"Hospital beds per 1,000 people",5.54
CUB,"Hospital beds per 1,000 people",5.2
CYP,"Hospital beds per 1,000 people",3.4
CZE,"Hospital beds per 1,000 people",6.63
COD,"Hospital beds per 1,000 people",Null
DNK,"Hospital beds per 1,000 people",2.5
DJI,"Hospital beds per 1,000 people",1.4
DMA,"Hospital beds per 1,000 people",3.8
DOM,"Hospital beds per 1,000 people",1.6
ECU,"Hospital beds per 1,000 people",1.5
EGY,"Hospital beds per 1,000 people",1.6
SLV,"Hospital beds per 1,000 people",1.3
GNQ,"Hospital beds per 1,000 people",2.1
ERI,"Hospital beds per 1,000 people",0.7
EST,"Hospital beds per 1,000 people",4.69
SWZ,"Hospital beds per 1,000 people",2.1
ETH,"Hospital beds per 1,000 people",0.3
FJI,"Hospital beds per 1,000 people",2.3
FIN,"Hospital beds per 1,000 people",3.28
FRA,"Hospital beds per 1,000 people",5.98
GAB,"Hospital beds per 1,000 people",6.3
GMB,"Hospital beds per 1,000 people",1.1
GEO,"Hospital beds per 1,000 people",2.6
DEU,"Hospital beds per 1,000 people",8.0
GHA,"Hospital beds per 1,000 people",0.9
GRC,"Hospital beds per 1,000 people",4.21
GRD,"Hospital beds per 1,000 people",3.7
GTM,"Hospital beds per 1,000 people",0.6
GIN,"Hospital beds per 1,000 people",0.3
GNB,"Hospital beds per 1,000 people",Null
GUY,"Hospital beds per 1,000 people",1.6
HTI,"Hospital beds per 1,000 people",0.7
HND,"Hospital beds per 1,000 people",0.7
HUN,"Hospital beds per 1,000 people",7.02
ISL,"Hospital beds per 1,000 people",2.91
IND,"Hospital beds per 1,000 people",0.53
IDN,"Hospital beds per 1,000 people",1.04
Null,"Hospital beds per 1,000 people",Null
IRN,"Hospital beds per 1,000 people",1.5
IRQ,"Hospital beds per 1,000 people",1.4
IRL,"Hospital beds per 1,000 people",2.96
ISR,"Hospital beds per 1,000 people",2.99
ITA,"Hospital beds per 1,000 people",3.18
JAM,"Hospital beds per 1,000 people",1.7
JPN,"Hospital beds per 1,000 people",13.05
JOR,"Hospital beds per 1,000 people",1.4
KAZ,"Hospital beds per 1,000 people",6.7
KEN,"Hospital beds per 1,000 people",1.4
OWID_KOS,"Hospital beds per 1,000 people",Null
KWT,"Hospital beds per 1,000 people",2.0
KGZ,"Hospital beds per 1,000 people",4.5
LAO,"Hospital beds per 1,000 people",1.5
LVA,"Hospital beds per 1,000 people",5.57
LBN,"Hospital beds per 1,000 people",2.9
LSO,"Hospital beds per 1,000 people",Null
LBR,"Hospital beds per 1,000 people",0.8
LBY,"Hospital beds per 1,000 people",3.7
LIE,"Hospital beds per 1,000 people",2.397
LTU,"Hospital beds per 1,000 people",6.56
LUX,"Hospital beds per 1,000 people",4.51
MDG,"Hospital beds per 1,000 people",0.2
MWI,"Hospital beds per 1,000 people",1.3
MYS,"Hospital beds per 1,000 people",1.9
MDV,"Hospital beds per 1,000 people",Null
MLI,"Hospital beds per 1,000 people",0.1
MLT,"Hospital beds per 1,000 people",4.485
MHL,"Hospital beds per 1,000 people",2.7
MRT,"Hospital beds per 1,000 people",Null
MUS,"Hospital beds per 1,000 people",3.4
MEX,"Hospital beds per 1,000 people",1.38
FSM,"Hospital beds per 1,000 people",Null
MDA,"Hospital beds per 1,000 people",5.8
MCO,"Hospital beds per 1,000 people",13.8
MNG,"Hospital beds per 1,000 people",7.0
MNE,"Hospital beds per 1,000 people",3.861
MAR,"Hospital beds per 1,000 people",1.1
MOZ,"Hospital beds per 1,000 people",0.7
MMR,"Hospital beds per 1,000 people",0.9
NAM,"Hospital beds per 1,000 people",Null
NPL,"Hospital beds per 1,000 people",0.3
NLD,"Hospital beds per 1,000 people",3.32
NZL,"Hospital beds per 1,000 people",2.61
NIC,"Hospital beds per 1,000 people",0.9
NER,"Hospital beds per 1,000 people",0.3
NGA,"Hospital beds per 1,000 people",Null
MKD,"Hospital beds per 1,000 people",4.28
NOR,"Hospital beds per 1,000 people",3.6
OMN,"Hospital beds per 1,000 people",1.6
PAK,"Hospital beds per 1,000 people",0.6
PSE,"Hospital beds per 1,000 people",Null
PAN,"Hospital beds per 1,000 people",2.3
PNG,"Hospital beds per 1,000 people",Null
PRY,"Hospital beds per 1,000 people",1.3
PER,"Hospital beds per 1,000 people",1.6
PHL,"Hospital beds per 1,000 people",1.0
POL,"Hospital beds per 1,000 people",6.62
PRT,"Hospital beds per 1,000 people",3.39
QAT,"Hospital beds per 1,000 people",1.2
ROU,"Hospital beds per 1,000 people",6.892
RUS,"Hospital beds per 1,000 people",8.05
RWA,"Hospital beds per 1,000 people",Null
KNA,"Hospital beds per 1,000 people",2.3
LCA,"Hospital beds per 1,000 people",1.3
VCT,"Hospital beds per 1,000 people",2.6
WSM,"Hospital beds per 1,000 people",Null
SMR,"Hospital beds per 1,000 people",3.8
STP,"Hospital beds per 1,000 people",2.9
SAU,"Hospital beds per 1,000 people",2.7
SEN,"Hospital beds per 1,000 people",Null
SRB,"Hospital beds per 1,000 people",5.609
SYC,"Hospital beds per 1,000 people",3.6
SLE,"Hospital beds per 1,000 people",Null
SGP,"Hospital beds per 1,000 people",2.4
SVK,"Hospital beds per 1,000 people",5.82
SVN,"Hospital beds per 1,000 people",4.5
SLB,"Hospital beds per 1,000 people",1.4
SOM,"Hospital beds per 1,000 people",0.9
ZAF,"Hospital beds per 1,000 people",2.32
KOR,"Hospital beds per 1,000 people",12.27
SSD,"Hospital beds per 1,000 people",Null
ESP,"Hospital beds per 1,000 people",2.97
LKA,"Hospital beds per 1,000 people",3.6
SDN,"Hospital beds per 1,000 people",0.8
SUR,"Hospital beds per 1,000 people",3.1
SWE,"Hospital beds per 1,000 people",2.22
CHE,"Hospital beds per 1,000 people",4.53
SYR,"Hospital beds per 1,000 people",1.5
TWN,"Hospital beds per 1,000 people",Null
TJK,"Hospital beds per 1,000 people",4.8
TZA,"Hospital beds per 1,000 people",0.7
THA,"Hospital beds per 1,000 people",2.1
TLS,"Hospital beds per 1,000 people",5.9
TGO,"Hospital beds per 1,000 people",0.7
TTO,"Hospital beds per 1,000 people",3.0
TUN,"Hospital beds per 1,000 people",2.3
TUR,"Hospital beds per 1,000 people",2.81
UGA,"Hospital beds per 1,000 people",0.5
UKR,"Hospital beds per 1,000 people",8.8
ARE,"Hospital beds per 1,000 people",1.2
GBR,"Hospital beds per 1,000 people",2.54
USA,"Hospital beds per 1,000 people",2.77
URY,"Hospital beds per 1,000 people",2.8
UZB,"Hospital beds per 1,000 people",4.0
VUT,"Hospital beds per 1,000 people",Null
VAT,"Hospital beds per 1,000 people",Null
VEN,"Hospital beds per 1,000 people",0.8
VNM,"Hospital beds per 1,000 people",2.6
OWID_WRL,"Hospital beds per 1,000 people",2.705
YEM,"Hospital beds per 1,000 people",0.7
ZMB,"Hospital beds per 1,000 people",2.0
ZWE,"Hospital beds per 1,000 people",1.7
