Geography,Indicator,Count
LIE,Received at least one vaccine dose,Null
LTU,Received at least one vaccine dose,60352.0
LUX,Received at least one vaccine dose,8280.0
MDG,Received at least one vaccine dose,Null
MWI,Received at least one vaccine dose,Null
MYS,Received at least one vaccine dose,Null
MDV,Received at least one vaccine dose,Null
MLI,Received at least one vaccine dose,Null
MLT,Received at least one vaccine dose,Null
MHL,Received at least one vaccine dose,Null
MRT,Received at least one vaccine dose,Null
MUS,Received at least one vaccine dose,Null
MEX,Received at least one vaccine dose,621005.0
FSM,Received at least one vaccine dose,Null
MDA,Received at least one vaccine dose,Null
MCO,Received at least one vaccine dose,Null
MNG,Received at least one vaccine dose,Null
MNE,Received at least one vaccine dose,Null
MAR,Received at least one vaccine dose,Null
MOZ,Received at least one vaccine dose,Null
MMR,Received at least one vaccine dose,0.0
NAM,Received at least one vaccine dose,Null
NPL,Received at least one vaccine dose,Null
NLD,Received at least one vaccine dose,Null
NZL,Received at least one vaccine dose,Null
NIC,Received at least one vaccine dose,Null
NER,Received at least one vaccine dose,Null
NGA,Received at least one vaccine dose,Null
MKD,Received at least one vaccine dose,Null
NOR,Received at least one vaccine dose,80358.0
OMN,Received at least one vaccine dose,24773.0
PAK,Received at least one vaccine dose,Null
PSE,Received at least one vaccine dose,Null
PAN,Received at least one vaccine dose,Null
PNG,Received at least one vaccine dose,Null
PRY,Received at least one vaccine dose,Null
PER,Received at least one vaccine dose,Null
PHL,Received at least one vaccine dose,Null
POL,Received at least one vaccine dose,782413.0
PRT,Received at least one vaccine dose,225499.0
QAT,Received at least one vaccine dose,Null
ROU,Received at least one vaccine dose,487711.0
RUS,Received at least one vaccine dose,Null
RWA,Received at least one vaccine dose,Null
KNA,Received at least one vaccine dose,Null
LCA,Received at least one vaccine dose,Null
VCT,Received at least one vaccine dose,Null
WSM,Received at least one vaccine dose,Null
SMR,Received at least one vaccine dose,Null
STP,Received at least one vaccine dose,Null
SAU,Received at least one vaccine dose,Null
SEN,Received at least one vaccine dose,Null
SRB,Received at least one vaccine dose,319504.0
SYC,Received at least one vaccine dose,20650.0
SLE,Received at least one vaccine dose,Null
SGP,Received at least one vaccine dose,Null
SVK,Received at least one vaccine dose,103223.0
SVN,Received at least one vaccine dose,51128.0
SLB,Received at least one vaccine dose,Null
SOM,Received at least one vaccine dose,Null
ZAF,Received at least one vaccine dose,Null
KOR,Received at least one vaccine dose,Null
SSD,Received at least one vaccine dose,Null
ESP,Received at least one vaccine dose,1167519.0
LKA,Received at least one vaccine dose,Null
SDN,Received at least one vaccine dose,Null
SUR,Received at least one vaccine dose,Null
SWE,Received at least one vaccine dose,Null
CHE,Received at least one vaccine dose,Null
SYR,Received at least one vaccine dose,Null
TWN,Received at least one vaccine dose,Null
TJK,Received at least one vaccine dose,Null
TZA,Received at least one vaccine dose,Null
THA,Received at least one vaccine dose,Null
TLS,Received at least one vaccine dose,Null
TGO,Received at least one vaccine dose,Null
TTO,Received at least one vaccine dose,Null
TUN,Received at least one vaccine dose,Null
TUR,Received at least one vaccine dose,1410273.0
UGA,Received at least one vaccine dose,Null
UKR,Received at least one vaccine dose,Null
ARE,Received at least one vaccine dose,2427680.0
GBR,Received at least one vaccine dose,7164387.0
USA,Received at least one vaccine dose,19902237.0
URY,Received at least one vaccine dose,Null
UZB,Received at least one vaccine dose,Null
VUT,Received at least one vaccine dose,Null
VAT,Received at least one vaccine dose,Null
VEN,Received at least one vaccine dose,Null
VNM,Received at least one vaccine dose,Null
OWID_WRL,Received at least one vaccine dose,47046513.0
YEM,Received at least one vaccine dose,Null
ZMB,Received at least one vaccine dose,Null
ZWE,Received at least one vaccine dose,Null
AFG,Received all doses prescribed,Null
ALB,Received all doses prescribed,Null
DZA,Received all doses prescribed,Null
AND,Received all doses prescribed,Null
AGO,Received all doses prescribed,Null
ATG,Received all doses prescribed,Null
ARG,Received all doses prescribed,38911.0
ARM,Received all doses prescribed,Null
AUS,Received all doses prescribed,Null
AUT,Received all doses prescribed,Null
AZE,Received all doses prescribed,Null
BHS,Received all doses prescribed,Null
BHR,Received all doses prescribed,Null
BGD,Received all doses prescribed,Null
BRB,Received all doses prescribed,Null
BLR,Received all doses prescribed,Null
BEL,Received all doses prescribed,1603.0
BLZ,Received all doses prescribed,Null
BEN,Received all doses prescribed,Null
BTN,Received all doses prescribed,Null
BOL,Received all doses prescribed,Null
BIH,Received all doses prescribed,Null
BWA,Received all doses prescribed,Null
BRA,Received all doses prescribed,Null
BRN,Received all doses prescribed,Null
BGR,Received all doses prescribed,5455.0
BFA,Received all doses prescribed,Null
BDI,Received all doses prescribed,Null
KHM,Received all doses prescribed,Null
CMR,Received all doses prescribed,Null
CAN,Received all doses prescribed,Null
CPV,Received all doses prescribed,Null
CAF,Received all doses prescribed,Null
TCD,Received all doses prescribed,Null
CHL,Received all doses prescribed,10018.0
CHN,Received all doses prescribed,Null
COL,Received all doses prescribed,Null
COM,Received all doses prescribed,Null
COG,Received all doses prescribed,Null
CRI,Received all doses prescribed,Null
CIV,Received all doses prescribed,Null
HRV,Received all doses prescribed,Null
CUB,Received all doses prescribed,Null
CYP,Received all doses prescribed,Null
CZE,Received all doses prescribed,17622.0
COD,Received all doses prescribed,Null
DNK,Received all doses prescribed,32522.0
DJI,Received all doses prescribed,Null
DMA,Received all doses prescribed,Null
DOM,Received all doses prescribed,Null
ECU,Received all doses prescribed,Null
EGY,Received all doses prescribed,Null
SLV,Received all doses prescribed,Null
GNQ,Received all doses prescribed,Null
ERI,Received all doses prescribed,Null
EST,Received all doses prescribed,Null
SWZ,Received all doses prescribed,Null
ETH,Received all doses prescribed,Null
FJI,Received all doses prescribed,Null
FIN,Received all doses prescribed,6960.0
FRA,Received all doses prescribed,6153.0
GAB,Received all doses prescribed,Null
GMB,Received all doses prescribed,Null
GEO,Received all doses prescribed,Null
DEU,Received all doses prescribed,318674.0
GHA,Received all doses prescribed,Null
GRC,Received all doses prescribed,13005.0
GRD,Received all doses prescribed,Null
GTM,Received all doses prescribed,Null
GIN,Received all doses prescribed,Null
GNB,Received all doses prescribed,Null
GUY,Received all doses prescribed,Null
HTI,Received all doses prescribed,Null
HND,Received all doses prescribed,Null
HUN,Received all doses prescribed,17772.0
ISL,Received all doses prescribed,Null
IND,Received all doses prescribed,Null
IDN,Received all doses prescribed,Null
Null,Received all doses prescribed,Null
IRN,Received all doses prescribed,Null
IRQ,Received all doses prescribed,Null
IRL,Received all doses prescribed,Null
ISR,Received all doses prescribed,1377951.0
ITA,Received all doses prescribed,243022.0
JAM,Received all doses prescribed,Null
JPN,Received all doses prescribed,Null
JOR,Received all doses prescribed,Null
KAZ,Received all doses prescribed,Null
KEN,Received all doses prescribed,Null
OWID_KOS,Received all doses prescribed,Null
KWT,Received all doses prescribed,Null
KGZ,Received all doses prescribed,Null
LAO,Received all doses prescribed,Null
LVA,Received all doses prescribed,Null
LBN,Received all doses prescribed,Null
LSO,Received all doses prescribed,Null
LBR,Received all doses prescribed,Null
LBY,Received all doses prescribed,Null
LIE,Received all doses prescribed,Null
LTU,Received all doses prescribed,9666.0
LUX,Received all doses prescribed,1245.0
MDG,Received all doses prescribed,Null
MWI,Received all doses prescribed,Null
MYS,Received all doses prescribed,Null
MDV,Received all doses prescribed,Null
MLI,Received all doses prescribed,Null
MLT,Received all doses prescribed,Null
MHL,Received all doses prescribed,Null
MRT,Received all doses prescribed,Null
MUS,Received all doses prescribed,Null
MEX,Received all doses prescribed,31314.0
FSM,Received all doses prescribed,Null
MDA,Received all doses prescribed,Null
MCO,Received all doses prescribed,Null
MNG,Received all doses prescribed,Null
MNE,Received all doses prescribed,Null
MAR,Received all doses prescribed,Null
MOZ,Received all doses prescribed,Null
MMR,Received all doses prescribed,Null
NAM,Received all doses prescribed,Null
NPL,Received all doses prescribed,Null
NLD,Received all doses prescribed,Null
NZL,Received all doses prescribed,Null
NIC,Received all doses prescribed,Null
NER,Received all doses prescribed,Null
NGA,Received all doses prescribed,Null
MKD,Received all doses prescribed,Null
NOR,Received all doses prescribed,3525.0
OMN,Received all doses prescribed,11433.0
PAK,Received all doses prescribed,Null
PSE,Received all doses prescribed,Null
PAN,Received all doses prescribed,Null
PNG,Received all doses prescribed,Null
PRY,Received all doses prescribed,Null
PER,Received all doses prescribed,Null
PHL,Received all doses prescribed,Null
POL,Received all doses prescribed,123044.0
PRT,Received all doses prescribed,38000.0
QAT,Received all doses prescribed,Null
ROU,Received all doses prescribed,40667.0
RUS,Received all doses prescribed,Null
RWA,Received all doses prescribed,Null
KNA,Received all doses prescribed,Null
LCA,Received all doses prescribed,Null
VCT,Received all doses prescribed,Null
WSM,Received all doses prescribed,Null
SMR,Received all doses prescribed,Null
STP,Received all doses prescribed,Null
SAU,Received all doses prescribed,Null
SEN,Received all doses prescribed,Null
SRB,Received all doses prescribed,Null
SYC,Received all doses prescribed,Null
SLE,Received all doses prescribed,Null
SGP,Received all doses prescribed,Null
SVK,Received all doses prescribed,5203.0
SVN,Received all doses prescribed,9851.0
SLB,Received all doses prescribed,Null
SOM,Received all doses prescribed,Null
ZAF,Received all doses prescribed,Null
KOR,Received all doses prescribed,Null
SSD,Received all doses prescribed,Null
ESP,Received all doses prescribed,123697.0
LKA,Received all doses prescribed,Null
SDN,Received all doses prescribed,Null
SUR,Received all doses prescribed,Null
SWE,Received all doses prescribed,Null
CHE,Received all doses prescribed,Null
SYR,Received all doses prescribed,Null
TWN,Received all doses prescribed,Null
TJK,Received all doses prescribed,Null
TZA,Received all doses prescribed,Null
THA,Received all doses prescribed,Null
TLS,Received all doses prescribed,Null
TGO,Received all doses prescribed,Null
TTO,Received all doses prescribed,Null
TUN,Received all doses prescribed,Null
TUR,Received all doses prescribed,Null
UGA,Received all doses prescribed,Null
UKR,Received all doses prescribed,Null
ARE,Received all doses prescribed,250000.0
GBR,Received all doses prescribed,474156.0
USA,Received all doses prescribed,3481921.0
URY,Received all doses prescribed,Null
UZB,Received all doses prescribed,Null
VUT,Received all doses prescribed,Null
VAT,Received all doses prescribed,Null
VEN,Received all doses prescribed,Null
VNM,Received all doses prescribed,Null
OWID_WRL,Received all doses prescribed,6752826.0
YEM,Received all doses prescribed,Null
ZMB,Received all doses prescribed,Null
ZWE,Received all doses prescribed,Null
